mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0						Allegro scherzando								
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0				p										
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=132	132.0	𝅘𝅥	132.0	0.0			
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	0											
1	1	1	1	0.25	1/4	1/4	Chord	4/4	1	1	1/16	1/16	1	1									0		
1	1	5/4	5/4	0.25	5/16	5/16	Chord	4/4	1	1	1/16	1/16	1	2											
1	1	7/4	7/4	0.25	7/16	7/16	Chord	4/4	1	1	1/16	1/16	1	3									1		
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	4											
1	1	3	3	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	5									2		
1	1	13/4	13/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	6											
1	1	15/4	15/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	7									3		
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	8											
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	9											
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	10											
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	11											
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	12											
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	13											
2	2	4	4	0.25	0	0	Chord	2/4	1	1	1/16	1/16	1	14									3		
2	2	17/4	17/4	0.25	1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	15											
2	2	9/2	9/2	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	16									4		
2	2	19/4	19/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	17											
2	2	5	5	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	18											
2	2	4	4	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	19											
2	2	9/2	9/2	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	20											
2	2	5	5	0.25	1/4	1/4	Chord	2/4	2	1	1/16	1/16	1	21		articAccentAbove									
2	2	21/4	21/4	0.25	5/16	5/16	Chord	2/4	2	1	1/16	1/16	1	22											
2	2	11/2	11/2	0.25	3/8	3/8	Chord	2/4	2	1	1/16	1/16	1	23											
2	2	23/4	23/4	0.25	7/16	7/16	Chord	2/4	2	1	1/16	1/16	1	24											
3	3	6	6	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	25											
3	3	8	8	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	26											
3	3	17/2	17/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16	1/16	1	27									5		
3	3	35/4	35/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16	1/16	1	28									5		
3	3	9	9	0.25	3/4	3/4	Chord	4/4	1	1	1/16	1/16	1	29									5		
3	3	37/4	37/4	0.25	13/16	13/16	Chord	4/4	1	1	1/16	1/16	1	30									5		
3	3	19/2	19/2	0.25	7/8	7/8	Chord	4/4	1	1	1/16	1/16	1	31									5		
3	3	39/4	39/4	0.25	15/16	15/16	Chord	4/4	1	1	1/16	1/16	1	32									5		
3	3	6	6	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	33											
3	3	7	7	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	34		articAccentAbove							6		
