mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	3/4	2	1	d.i{	d	i		i		i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	3/4	2	1	III7(9)	d	i		III7(9)		III		7	9				Mm7	1	1	-3, 1, -2, -5	-1	-3	-3
1	1	2	1.0	1/2	1/2	3/4	2	1	V2/V	d	i		V2/V		V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
2	2	3	1.0	0	0	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
2	2	4	0.5	1/4	1/4	3/4	2	1	V6(#2)	d	i		V6(#2)		V		6	#2				M	1	1	3, 2, 1		1	3
2	2	9/2	0.5	3/8	3/8	3/4	2	1	V6	d	i		V6		V		6					M	1	1	5, 2, 1		1	5
2	2	5	1.0	1/2	1/2	3/4	2	1	#viio2	d	i		#viio2		#vii	o	2					o7	1	1	-4, 5, 2, -1		5	-4
3	3	6	0.5	0	0	3/4	2	1	iv6(2)	d	i		iv6(2)		iv		6	2				m	1	1	-4, 0, 1		-1	-4
3	3	13/2	0.5	1/8	1/8	3/4	2	1	iv6	d	i		iv6		iv		6					m	1	1	-4, 0, -1		-1	-4
3	3	7	1.0	1/4	1/4	3/4	2	1	#viio43	d	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
3	3	8	1.0	1/2	1/2	3/4	2	1	V7/V	d	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
4	4	9	1.0	0	0	3/4	2	1	V(64)	d	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
4	4	10	1.0	1/4	1/4	3/4	2	1	VI+64	d	i		VI+64		VI	+	64					+	1	1	4, -4, 0		-4	4
4	4	11	1.0	1/2	1/2	3/4	2	1	i	d	i		i		i							m	1	1	0, -3, 1		0	0
5	5	12	1.0	0	0	3/4	2	2	V7(^#4)/III	d	i		V7(^#4)/III		V		7	^#4	III			Mm7	1	1	-2, 2, 4, -4		-2	-2
5	5	13	1.0	1/4	1/4	3/4	2	2	#IVM43	d	i		#IVM43		#IV	M	43					MM7	1	1	7, 11, 6, 10		6	7
5	5	14	1.0	1/2	1/2	3/4	2	2	iv	d	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
6	6	15	1.0	0	0	3/4	2	1	i}{	d	i		i		i						}{	m	1	1	0, -3, 1		0	0
6	6	16	1.0	1/4	1/4	3/4	2	1	iv2	d	i		iv2		iv		2					mm7	1	1	-3, -1, -4, 0		-1	-3
6	6	17	1.0	1/2	1/2	3/4	2	1	viio43/V	d	i		viio43/V		vii	o	43		V			o7	1	1	0, -3, 6, 3		6	0
7	7	18	1.0	0	0	3/4	2	1	i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
7	7	19	0.5	1/4	1/4	3/4	2	1	i65(2)	d	i		i65(2)		i		65	2				mm7	1	1	-3, 1, -2, 2		0	-3
7	7	39/2	0.5	3/8	3/8	3/4	2	1	i65(^#4)	d	i		i65(^#4)		i		65	^#4				mm7	1	1	-3, 6, -2, 0		0	-3
7	7	20	1.0	1/2	1/2	3/4	2	1	i7	d	i		i7		i		7					mm7	1	1	0, -3, 1, -2		0	0
8	8	21	0.5	0	0	3/4	2	1	III.iv6(2)	d	III		iv6(2)		iv		6	2				m	1	0	-4, 0, 1		-1	-4
8	8	43/2	0.5	1/8	1/8	3/4	2	1	iv6	d	III		iv6		iv		6					m	1	0	-4, 0, -1		-1	-4
8	8	22	1.0	1/4	1/4	3/4	2	1	viio43	d	III		viio43		vii	o	43					o7	1	0	-1, -4, 5, 2		5	-1
8	8	23	1.0	1/2	1/2	3/4	2	1	V7/V	d	III		V7/V		V		7		V			Mm7	1	0	2, 6, 3, 0		2	2
9	9	24	1.0	0	0	3/4	2	1	V(964)	d	III		V(964)		V			964				M	1	0	1, 0, 4	3	1	1
9	9	25	1.0	1/4	1/4	3/4	2	1	V7(9b5)	d	III		V7(9b5)		V		7	9b5				Mm7	1	0	1, 5, -5, -1	3	1	1
9	9	26	1.0	1/2	1/2	3/4	2	1	vi	d	III		vi		vi							m	1	0	3, 0, 4		3	3
10	10	27	1.0	0	0	3/4	2	2	V(b8)/ii	d	III		V(b8)/ii		V			b8	ii			M	1	0	3, 7, 4		3	3
10	10	28	1.0	1/4	1/4	3/4	2	2	V7(^#4)/bIII	d	III		V7(^#4)/bIII		V		7	^#4	bIII			Mm7	1	0	-2, 2, 4, -4		-2	-2
10	10	29	1.0	1/2	1/2	3/4	2	2	Fr7/vi	d	III		Fr7/vi	Fr	V		7	b5	V/vi			Fr	1	0	5, 9, -1, 3		5	5
11	11	30	1.0	0	0	3/4	2	1	I}{	d	III		I		I						}{	M	1	0	0, 4, 1		0	0
11	11	31	1.0	1/4	1/4	3/4	2	1	i.i6	d	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
11	11	32	1.0	1/2	1/2	3/4	2	1	V2/V	d	i		V2/V		V		2		V			Mm7	1	1	0, 2, 6, 3		2	0
12	12	33	1.0	0	0	3/4	2	1	ii%7/V	d	i		ii%7/V		ii	%	7		V			%7	1	1	3, 0, -3, 1		3	3
12	12	34	0.5	1/4	1/4	3/4	2	1	ii%7(#3)/i	d	i		ii%7(#3)/i		ii	%	7	#3	i			%7	1	1	2, 6, -4, 0		2	2
12	12	69/2	0.5	3/8	3/8	3/4	2	1	ii%7/i	d	i		ii%7/i		ii	%	7		i			%7	1	1	2, -1, -4, 0		2	2
12	12	35	1.0	1/2	1/2	3/4	2	1	V7/V	d	i		V7/V		V		7		V			Mm7	1	1	2, 6, 3, 0		2	2
13	13	36	1.0	0	0	3/4	2	1	iv.VI6}{	d	iv		VI6		VI		6				}{	M	1	1	0, -3, -4		-4	0
13	13	37	1.0	1/4	1/4	3/4	2	1	V2(#4)/bII	d	iv		V2(#4)/bII		V		2	#4	bII			Mm7	1	1	-6, -4, 0, 2		-4	-6
13	13	38	1.0	1/2	1/2	3/4	2	1	bII6	d	iv		bII6		bII		6					M	1	1	-1, -4, -5		-5	-1
14	14	39	1.0	0	0	3/4	2	1	V+64(#4)/bII	d	iv		V+64(#4)/bII		V	+	64	#4	bII			+	1	1	2, -4, 0		-4	2
14	14	40	1.0	1/4	1/4	3/4	2	1	III+	d	iv		III+		III	+						+	1	1	-3, 1, 5		-3	-3
