mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	3/4	2	1	3/4	1/2	3/2		2	62		4
1	1	0	0	3/4	1	2	3/4	1/2	3/2		-1	65		3
1	1	0	0	3/4	2	1	3/4	1/2	3/2		-1	65		4
1	1	0	0	3/4	1	1	1/4	1/4	1		2	74		0
1	1	1/4	1/4	3/4	1	1	3/8	1/4	3/2		2	74		1
1	1	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76		2
2	2	0	0	3/4	2	1	3/4	1/2	3/2		3	57		8
2	2	0	0	3/4	2	1	3/4	1/2	3/2		4	64		8
2	2	0	0	3/4	1	2	3/4	1/2	3/2		3	69		7
2	2	0	0	3/4	1	1	1/2	1/2	1		7	73		5
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		6
3	3	0	0	3/4	2	1	1/2	1/2	1		2	62		15
3	3	0	0	3/4	2	1	1/2	1/2	1		-1	65		15
3	3	0	0	3/4	1	2	1/2	1/2	1		3	69		13
3	3	0	0	3/4	1	1	1/4	1/4	1		2	74		9
3	3	1/4	1/4	3/4	1	1	3/8	1/4	3/2		2	74		10
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		1	55		16
3	3	1/2	1/2	3/4	2	1	1/4	1/4	1		-1	65		16
3	3	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67		14
3	3	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72		11
3	3	11/16	11/16	3/4	1	1	1/16	1/16	1		2	74		12
4	4	0	0	3/4	2	1	1/2	1/2	1		0	60		21
4	4	0	0	3/4	2	1	1/2	1/2	1		4	64		21
4	4	0	0	3/4	1	2	1/2	1/2	1		1	67		19
4	4	0	0	3/4	1	1	1/2	1/2	1		4	76		17
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		0	60		22
4	4	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		22
4	4	1/2	1/2	3/4	1	2	1/4	1/4	1		0	72		20
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		18
5	5	0	0	3/4	2	1	3/4	1/2	3/2		-1	65		27
5	5	0	0	3/4	2	1	3/4	1/2	3/2		3	69		27
5	5	0	0	3/4	1	2	3/4	1/2	3/2		0	72		26
5	5	0	0	3/4	1	1	1/4	1/4	1		-1	77		23
5	5	1/4	1/4	3/4	1	1	3/8	1/4	3/2		-1	77		24
5	5	5/8	5/8	3/4	1	1	1/8	1/8	1		1	79		25
6	6	0	0	3/4	2	1	1/2	1/2	1		0	60		30
6	6	0	0	3/4	2	1	1/2	1/2	1		1	67		30
6	6	0	0	3/4	1	1	1/2	1/2	1		0	72		28
6	6	0	0	3/4	1	1	1/2	1/2	1		4	76		28
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		7	61		31
6	6	1/2	1/2	3/4	2	1	1/4	1/4	1		1	67		31
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		-2	70		29
6	6	1/2	1/2	3/4	1	1	1/4	1/4	1		4	76		29
7	7	0	0	3/4	2	1	1/4	1/4	1		2	62		39
7	7	0	0	3/4	2	1	1/4	1/4	1		-1	65		39
7	7	0	0	3/4	1	2	1/4	1/4	1		3	69		36
7	7	0	0	3/4	1	1	1/8	1/8	1		2	74		32
7	7	1/8	1/8	3/4	1	1	1/8	1/8	1		7	73		33
7	7	1/4	1/4	3/4	2	1	1/2	1/2	1		-2	58		40
7	7	1/4	1/4	3/4	2	1	1/2	1/2	1		2	62		40
7	7	1/4	1/4	3/4	1	2	1/4	1/4	1		3	69		37
7	7	1/4	1/4	3/4	1	1	3/8	1/4	3/2		2	74		34
7	7	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67		38
7	7	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76		35
8	8	0	0	3/4	2	1	3/4	1/2	3/2		3	57		44
8	8	0	0	3/4	2	1	3/4	1/2	3/2		4	64		44
8	8	0	0	3/4	1	2	3/4	1/2	3/2		3	69		43
8	8	0	0	3/4	1	1	1/2	1/2	1		7	73		41
8	8	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		42
9	9	0	0	3/4	2	1	3/4	1/2	3/2		2	62		50
9	9	0	0	3/4	1	2	1/2	1/2	1		-1	65		48
9	9	0	0	3/4	2	1	3/4	1/2	3/2		-1	65		50
9	9	0	0	3/4	1	1	1/4	1/4	1		2	74		45
9	9	1/4	1/4	3/4	1	1	3/8	1/4	3/2		2	74		46
9	9	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67		49
9	9	5/8	5/8	3/4	1	1	1/8	1/8	1		4	76		47
10	10	0	0	3/4	2	1	3/4	1/2	3/2		3	57		54
10	10	0	0	3/4	2	1	3/4	1/2	3/2		4	64		54
10	10	0	0	3/4	1	2	3/4	1/2	3/2		3	69		53
10	10	0	0	3/4	1	1	1/2	1/2	1		7	73		51
10	10	1/2	1/2	3/4	1	1	1/4	1/4	1		7	73		52
11	11	0	0	3/4	2	2	1/2	1/2	1		2	62		65
11	11	0	0	3/4	2	1	1/2	1/2	1		-1	65		61
11	11	0	0	3/4	1	2	1/2	1/2	1		3	69		59
11	11	0	0	3/4	1	1	1/4	1/4	1		2	74		55
11	11	1/4	1/4	3/4	1	1	3/8	1/4	3/2		2	74		56
11	11	1/2	1/2	3/4	2	2	1/4	1/4	1		1	55		66
11	11	1/2	1/2	3/4	2	1	1/8	1/8	1		-1	65		62
11	11	1/2	1/2	3/4	1	2	1/4	1/4	1		1	67		60
11	11	5/8	5/8	3/4	2	1	1/16	1/16	1		4	64		63
11	11	5/8	5/8	3/4	1	1	1/16	1/16	1		0	72		57
