mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	3/4	2	2	1/2		1/2	1		2	62	D4	4	13
1	1	0	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	5
1	1	0	2.0	0	0	3/4	1	2	1/2		1/2	1		3	69	A4	4	5
1	1	0	2.0	0	0	3/4	1	3	1/2		1/2	1		2	74	D5	5	7
1	1	1	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		1	79	G5	5	0
1	1	1	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		8	80	G#5	5	1
1	1	1	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		1	67	G4	4	8
1	1	1	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		8	68	G#4	4	9
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	10
1	1	1	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69	A4	4	10
1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	2
1	1	1	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	81	A5	5	2
1	1	2	0.75	1/2	1/2	3/4	2	1	3/16		1/8	3/2		2	62	D4	4	11
1	1	2	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	6
1	1	2	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	6
1	1	2	0.75	1/2	1/2	3/4	1	1	3/16		1/8	3/2		2	74	D5	5	3
1	1	11/4	0.25	11/16	11/16	3/4	2	1	1/16		1/16	1		4	64	E4	4	12
1	1	11/4	0.25	11/16	11/16	3/4	1	1	1/16		1/16	1		4	76	E5	5	4
2	2	3	3.0	0	0	3/4	2	2	3/4		1/2	3/2		3	57	A3	3	24
2	2	3	3.0	0	0	3/4	2	2	3/4		1/2	3/2		0	60	C4	4	24
2	2	3	3.0	0	0	3/4	1	2	3/4		1/2	3/2		-1	65	F4	4	18
2	2	3	3.0	0	0	3/4	1	2	3/4		1/2	3/2		3	69	A4	4	18
2	2	3	3.0	0	0	3/4	1	3	3/4		1/2	3/2		0	72	C5	5	19
2	2	4	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		1	79	G5	5	14
2	2	4	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		8	80	G#5	5	15
2	2	4	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		1	67	G4	4	20
2	2	4	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		8	68	G#4	4	21
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	22
2	2	4	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69	A4	4	22
2	2	4	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	16
2	2	4	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	81	A5	5	16
2	2	5	1.0	1/2	1/2	3/4	2	1	1/4		1/4	1		3	57	A3	3	23
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		3	69	A4	4	17
3	3	6	2.0	0	0	3/4	2	2	1/2		1/2	1		2	62	D4	4	40
3	3	6	2.0	0	0	3/4	1	2	1/2		1/2	1		-1	65	F4	4	31
3	3	6	2.0	0	0	3/4	1	2	1/2		1/2	1		3	69	A4	4	31
3	3	6	2.0	0	0	3/4	1	3	1/2		1/2	1		2	74	D5	5	33
3	3	7	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		1	79	G5	5	25
3	3	7	0.0	1/4	1/4	3/4	1	1	0	grace16	1/16	1		8	80	G#5	5	26
3	3	7	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		1	67	G4	4	34
3	3	7	0.0	1/4	1/4	3/4	2	1	0	grace16	1/16	1		8	68	G#4	4	35
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		-1	65	F4	4	36
3	3	7	1.0	1/4	1/4	3/4	2	1	1/4		1/4	1		3	69	A4	4	36
3	3	7	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		-1	77	F5	5	27
3	3	7	1.0	1/4	1/4	3/4	1	1	1/4		1/4	1		3	81	A5	5	27
3	3	8	0.3333333333333333	1/2	1/2	3/4	2	1	1/12		1/8	2/3		2	62	D4	4	37
3	3	8	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		-1	65	F4	4	32
3	3	8	1.0	1/2	1/2	3/4	1	2	1/4		1/4	1		3	69	A4	4	32
3	3	8	0.3333333333333333	1/2	1/2	3/4	1	1	1/12		1/8	2/3		2	74	D5	5	28
3	3	25/3	0.3333333333333333	7/12	7/12	3/4	2	1	1/12		1/8	2/3		0	60	C4	4	38
3	3	25/3	0.3333333333333333	7/12	7/12	3/4	1	1	1/12		1/8	2/3		0	72	C5	5	29
