mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	1	0	0	4/4	2	1	d.i{		d	i		i		i						{	m	1	1	2, -1, 3		2	2	10	40	0.2	0.75	4.25	0.15
3	3	0	0	4/4	2	1	V		d	i		V		V							M	1	1	3, 7, 4		3	3	10	16	0.38461538461538464	0.625	1.625	0.2777777777777778
4	4	0	0	4/4	2	1	i		d	i		i		i							m	1	1	2, -1, 3		2	2	5	31	0.1388888888888889	0.3125	3.5	0.08196721311475409
5	5	1/8	1/8	2/4	2	1	VM7		d	i		VM7		V	M	7					MM7	1	1	3, 7, 4, 8		3	3	0	6	0.0	0.0	0.5625	0.0
5	5	1/4	1/4	2/4	2	1	iv7(^#14)		d	i		iv7(^#14)		iv		7	^#14				mm7	1	1	1, -2, 2, -1	6	1	1	0	9	0.0	0.0	0.75	0.0
6	6	0	0	4/4	2	1	V/III		d	i		V/III		V				III			M	1	1	0, 4, 1		0	0	10	16	0.38461538461538464	0.625	1.625	0.2777777777777778
7	7	0	0	4/4	2	1	I/III		d	i		I/III		I				III			M	1	1	-1, 3, 0		-1	-1	11	33	0.25	0.875	3.4375	0.2028985507246377
9	9	0	0	4/4	2	1	iii6/III		d	i		iii6/III		iii		6		III			m	1	1	0, 4, 3		3	0	1	8	0.1111111111111111	0.0625	0.8125	0.07142857142857142
9	9	1/2	1/2	4/4	2	1	v6		d	i		v6		v		6					m	1	1	0, 4, 3		3	0	0	5	0.0	0.0	0.625	0.0
9	9	3/4	3/4	4/4	2	1	V6(#139)		d	i		V6(#139)		V		6	#139				M	1	1	7, 4, 3	6, -2	3	7	0	7	0.0	0.0	0.5	0.0
10	10	0	0	4/4	2	1	i|EC		d	i		i		i					EC		m	1	1	2, -1, 3		2	2	9	33	0.21428571428571427	0.6875	3.6875	0.15714285714285714
